date,gender,age_group,cases,deaths
2021-04-21,female,00-04,355,0
2021-04-21,female,05-14,1122,0
2021-04-21,female,15-34,2757,2
2021-04-21,female,35-59,3353,8
2021-04-21,female,60-79,964,26
2021-04-21,female,80+,269,34
2021-04-21,female,total,8820,70
2021-04-21,male,00-04,368,1
2021-04-21,male,05-14,1212,0
2021-04-21,male,15-34,3212,1
2021-04-21,male,35-59,3758,22
2021-04-21,male,60-79,1092,54
2021-04-21,male,80+,174,27
2021-04-21,male,total,9818,105
2021-04-21,total,00-04,729,1
2021-04-21,total,05-14,2356,0
2021-04-21,total,15-34,5999,3
2021-04-21,total,35-59,7131,30
2021-04-21,total,60-79,2061,81
2021-04-21,total,80+,443,61
2021-04-21,total,total,18721,176
2021-04-22,female,00-04,316,0
2021-04-22,female,05-14,949,1
2021-04-22,female,15-34,2499,0
2021-04-22,female,35-59,2934,8
2021-04-22,female,60-79,859,28
2021-04-22,female,80+,231,32
2021-04-22,female,total,7792,69
2021-04-22,male,00-04,375,0
2021-04-22,male,05-14,1112,0
2021-04-22,male,15-34,2791,1
2021-04-22,male,35-59,3268,26
2021-04-22,male,60-79,891,42
2021-04-22,male,80+,159,35
2021-04-22,male,total,8598,104
2021-04-22,total,00-04,700,0
2021-04-22,total,05-14,2077,1
2021-04-22,total,15-34,5312,1
2021-04-22,total,35-59,6222,34
2021-04-22,total,60-79,1750,70
2021-04-22,total,80+,390,67
2021-04-22,total,total,16462,173
2021-04-23,female,00-04,302,0
2021-04-23,female,05-14,910,0
2021-04-23,female,15-34,2292,0
2021-04-23,female,35-59,2682,6
2021-04-23,female,60-79,847,31
2021-04-23,female,80+,185,24
2021-04-23,female,total,7222,61
2021-04-23,male,00-04,331,0
2021-04-23,male,05-14,1027,0
2021-04-23,male,15-34,2649,2
2021-04-23,male,35-59,2895,14
2021-04-23,male,60-79,860,35
2021-04-23,male,80+,123,25
2021-04-23,male,total,7890,76
2021-04-23,total,00-04,640,0
2021-04-23,total,05-14,1950,0
2021-04-23,total,15-34,4967,2
2021-04-23,total,35-59,5611,20
2021-04-23,total,60-79,1712,66
2021-04-23,total,80+,308,49
2021-04-23,total,total,15199,137
2021-04-24,female,00-04,258,0
2021-04-24,female,05-14,678,0
2021-04-24,female,15-34,1776,1
2021-04-24,female,35-59,2158,5
2021-04-24,female,60-79,677,19
2021-04-24,female,80+,169,21
2021-04-24,female,total,5721,46
2021-04-24,male,00-04,305,0
2021-04-24,male,05-14,773,0
2021-04-24,male,15-34,1989,0
2021-04-24,male,35-59,2226,6
2021-04-24,male,60-79,697,35
2021-04-24,male,80+,116,24
2021-04-24,male,total,6109,65
2021-04-24,total,00-04,572,0
2021-04-24,total,05-14,1461,0
2021-04-24,total,15-34,3778,1
2021-04-24,total,35-59,4396,11
2021-04-24,total,60-79,1376,54
2021-04-24,total,80+,285,45
2021-04-24,total,total,11895,111
2021-04-25,female,00-04,114,0
2021-04-25,female,05-14,363,0
2021-04-25,female,15-34,871,0
2021-04-25,female,35-59,977,0
2021-04-25,female,60-79,295,16
2021-04-25,female,80+,79,11
2021-04-25,female,total,2700,27
2021-04-25,male,00-04,154,0
2021-04-25,male,05-14,377,0
2021-04-25,male,15-34,947,0
2021-04-25,male,35-59,1040,5
2021-04-25,male,60-79,336,17
2021-04-25,male,80+,48,8
2021-04-25,male,total,2903,30
2021-04-25,total,00-04,269,0
2021-04-25,total,05-14,746,0
2021-04-25,total,15-34,1825,0
2021-04-25,total,35-59,2022,5
2021-04-25,total,60-79,631,33
2021-04-25,total,80+,127,19
2021-04-25,total,total,5622,57
2021-04-26,female,00-04,173,0
2021-04-26,female,05-14,402,0
2021-04-26,female,15-34,1218,0
2021-04-26,female,35-59,1343,6
2021-04-26,female,60-79,447,30
2021-04-26,female,80+,137,21
2021-04-26,female,total,3720,57
2021-04-26,male,00-04,191,0
2021-04-26,male,05-14,491,0
2021-04-26,male,15-34,1323,0
2021-04-26,male,35-59,1580,10
2021-04-26,male,60-79,495,46
2021-04-26,male,80+,103,30
2021-04-26,male,total,4183,86
2021-04-26,total,00-04,368,0
2021-04-26,total,05-14,898,0
2021-04-26,total,15-34,2558,0
2021-04-26,total,35-59,2939,16
2021-04-26,total,60-79,952,76
2021-04-26,total,80+,241,51
2021-04-26,total,total,7957,143
2021-04-27,female,00-04,265,0
2021-04-27,female,05-14,765,0
2021-04-27,female,15-34,2276,0
2021-04-27,female,35-59,2903,4
2021-04-27,female,60-79,865,17
2021-04-27,female,80+,179,26
2021-04-27,female,total,7253,47
2021-04-27,male,00-04,310,0
2021-04-27,male,05-14,817,0
2021-04-27,male,15-34,2621,0
2021-04-27,male,35-59,3381,17
2021-04-27,male,60-79,936,45
2021-04-27,male,80+,124,26
2021-04-27,male,total,8196,88
2021-04-27,total,00-04,580,0
2021-04-27,total,05-14,1597,0
2021-04-27,total,15-34,4916,0
2021-04-27,total,35-59,6308,21
2021-04-27,total,60-79,1805,62
2021-04-27,total,80+,305,52
2021-04-27,total,total,15527,135
2021-04-28,female,00-04,328,0
2021-04-28,female,05-14,883,0
2021-04-28,female,15-34,2254,0
2021-04-28,female,35-59,2979,5
2021-04-28,female,60-79,876,20
2021-04-28,female,80+,228,29
2021-04-28,female,total,7550,54
2021-04-28,male,00-04,356,0
2021-04-28,male,05-14,952,0
2021-04-28,male,15-34,2744,0
2021-04-28,male,35-59,3255,10
2021-04-28,male,60-79,968,45
2021-04-28,male,80+,119,20
2021-04-28,male,total,8395,75
2021-04-28,total,00-04,688,0
2021-04-28,total,05-14,1848,0
2021-04-28,total,15-34,5017,0
2021-04-28,total,35-59,6251,15
2021-04-28,total,60-79,1846,65
2021-04-28,total,80+,347,49
2021-04-28,total,total,16005,129
2021-04-29,female,00-04,301,0
2021-04-29,female,05-14,799,0
2021-04-29,female,15-34,2142,0
2021-04-29,female,35-59,2503,5
2021-04-29,female,60-79,771,19
2021-04-29,female,80+,184,20
2021-04-29,female,total,6701,44
2021-04-29,male,00-04,297,0
2021-04-29,male,05-14,866,0
2021-04-29,male,15-34,2461,0
2021-04-29,male,35-59,2675,10
2021-04-29,male,60-79,829,33
2021-04-29,male,80+,116,20
2021-04-29,male,total,7246,63
2021-04-29,total,00-04,605,0
2021-04-29,total,05-14,1681,0
2021-04-29,total,15-34,4619,0
2021-04-29,total,35-59,5194,16
2021-04-29,total,60-79,1603,52
2021-04-29,total,80+,300,40
2021-04-29,total,total,14008,108
2021-04-30,female,00-04,242,0
