date,gender,age_group,cases,deaths
2021-04-28,female,05-14,1302,0
2021-04-28,female,15-34,3407,0
2021-04-28,female,35-59,4837,5
2021-04-28,female,60-79,1491,30
2021-04-28,female,80+,402,53
2021-04-28,female,total,11901,88
2021-04-28,male,00-04,514,0
2021-04-28,male,05-14,1434,0
2021-04-28,male,15-34,4065,0
2021-04-28,male,35-59,5146,12
2021-04-28,male,60-79,1614,78
2021-04-28,male,80+,215,46
2021-04-28,male,total,12991,136
2021-04-28,total,00-04,979,0
2021-04-28,total,05-14,2756,0
2021-04-28,total,15-34,7510,0
2021-04-28,total,35-59,10019,17
2021-04-28,total,60-79,3114,109
2021-04-28,total,80+,617,99
2021-04-28,total,total,25007,225
2021-04-29,female,00-04,429,0
2021-04-29,female,05-14,1189,0
2021-04-29,female,15-34,3097,0
2021-04-29,female,35-59,3935,7
2021-04-29,female,60-79,1305,31
2021-04-29,female,80+,361,46
2021-04-29,female,total,10318,84
2021-04-29,male,00-04,437,0
2021-04-29,male,05-14,1276,0
2021-04-29,male,15-34,3590,2
2021-04-29,male,35-59,4132,16
2021-04-29,male,60-79,1345,62
2021-04-29,male,80+,215,40
2021-04-29,male,total,10999,120
2021-04-29,total,00-04,880,0
2021-04-29,total,05-14,2489,0
2021-04-29,total,15-34,6721,2
2021-04-29,total,35-59,8097,24
2021-04-29,total,60-79,2655,94
2021-04-29,total,80+,577,86
2021-04-29,total,total,21428,206
2021-04-30,female,00-04,359,0
2021-04-30,female,05-14,1076,0
2021-04-30,female,15-34,2711,0
2021-04-30,female,35-59,3542,4
2021-04-30,female,60-79,1186,24
2021-04-30,female,80+,305,39
2021-04-30,female,total,9181,67
2021-04-30,male,00-04,463,0
2021-04-30,male,05-14,1156,0
2021-04-30,male,15-34,3053,1
2021-04-30,male,35-59,3754,15
2021-04-30,male,60-79,1252,55
2021-04-30,male,80+,205,42
2021-04-30,male,total,9888,113
2021-04-30,total,00-04,830,0
2021-04-30,total,05-14,2259,0
2021-04-30,total,15-34,5788,1
2021-04-30,total,35-59,7320,19
2021-04-30,total,60-79,2448,80
2021-04-30,total,80+,510,81
2021-04-30,total,total,19165,181
2021-05-01,female,00-04,324,0
2021-05-01,female,05-14,817,0
2021-05-01,female,15-34,2166,0
2021-05-01,female,35-59,2790,8
2021-05-01,female,60-79,958,19
2021-05-01,female,80+,231,31
2021-05-01,female,total,7286,58
2021-05-01,male,00-04,321,0
2021-05-01,male,05-14,940,0
2021-05-01,male,15-34,2383,1
2021-05-01,male,35-59,2931,11
2021-05-01,male,60-79,964,32
2021-05-01,male,80+,168,32
2021-05-01,male,total,7711,76
2021-05-01,total,00-04,654,0
2021-05-01,total,05-14,1769,0
2021-05-01,total,15-34,4575,1
2021-05-01,total,35-59,5736,19
2021-05-01,total,60-79,1927,51
2021-05-01,total,80+,399,63
2021-05-01,total,total,15073,134
2021-05-02,female,00-04,127,1
2021-05-02,female,05-14,388,0
2021-05-02,female,15-34,958,1
2021-05-02,female,35-59,1213,0
2021-05-02,female,60-79,384,11
2021-05-02,female,80+,111,19
2021-05-02,female,total,3182,32
2021-05-02,male,00-04,157,0
2021-05-02,male,05-14,421,0
2021-05-02,male,15-34,1069,3
2021-05-02,male,35-59,1300,8
2021-05-02,male,60-79,419,27
2021-05-02,male,80+,68,24
2021-05-02,male,total,3434,62
2021-05-02,total,00-04,287,1
2021-05-02,total,05-14,814,0
2021-05-02,total,15-34,2041,4
2021-05-02,total,35-59,2524,8
2021-05-02,total,60-79,812,38
2021-05-02,total,80+,179,43
2021-05-02,total,total,6658,94
2021-05-03,female,00-04,167,0
2021-05-03,female,05-14,464,0
2021-05-03,female,15-34,1340,0
2021-05-03,female,35-59,1618,4
2021-05-03,female,60-79,615,32
2021-05-03,female,80+,170,22
2021-05-03,female,total,4374,58
2021-05-03,male,00-04,165,0
2021-05-03,male,05-14,503,0
2021-05-03,male,15-34,1467,0
2021-05-03,male,35-59,1849,11
2021-05-03,male,60-79,606,39
2021-05-03,male,80+,116,32
2021-05-03,male,total,4711,82
2021-05-03,total,00-04,337,0
2021-05-03,total,05-14,973,0
2021-05-03,total,15-34,2822,0
2021-05-03,total,35-59,3484,15
2021-05-03,total,60-79,1223,71
2021-05-03,total,80+,286,54
2021-05-03,total,total,9130,140
2021-05-04,female,00-04,369,0
2021-05-04,female,05-14,1127,0
2021-05-04,female,15-34,2838,1
2021-05-04,female,35-59,4053,3
2021-05-04,female,60-79,1275,20
2021-05-04,female,80+,367,52
2021-05-04,female,total,10033,76
2021-05-04,male,00-04,403,0
2021-05-04,male,05-14,1144,0
2021-05-04,male,15-34,3266,0
2021-05-04,male,35-59,4403,21
2021-05-04,male,60-79,1443,66
2021-05-04,male,80+,194,41
2021-05-04,male,total,10854,128
2021-05-04,total,00-04,781,0
2021-05-04,total,05-14,2298,0
2021-05-04,total,15-34,6130,1
2021-05-04,total,35-59,8480,24
