date,gender,age_group,cases,deaths
2021-04-15,male,50-59,2122,
2021-04-15,male,60-69,1323,
2021-04-15,male,70-79,693,
2021-04-15,male,80-89,307,
2021-04-15,male,90+,114,
2021-04-15,male,total,14865,
2021-04-15,total,00-09,1539,
2021-04-15,total,10-19,4463,
2021-04-15,total,20-29,5447,
2021-04-15,total,30-39,5097,
2021-04-15,total,40-49,4945,
2021-04-15,total,50-59,4480,
2021-04-15,total,60-69,2760,
2021-04-15,total,70-79,1464,
2021-04-15,total,80-89,829,
2021-04-15,total,90+,395,
2021-04-15,total,total,31432,
2021-04-16,female,00-09,782,
2021-04-16,female,10-19,2328,
2021-04-16,female,20-29,2747,
2021-04-16,female,30-39,2839,
2021-04-16,female,40-49,2685,
2021-04-16,female,50-59,2386,
2021-04-16,female,60-69,1486,
2021-04-16,female,70-79,773,
2021-04-16,female,80-89,454,
2021-04-16,female,90+,263,
2021-04-16,female,total,16749,
2021-04-16,male,00-09,836,
2021-04-16,male,10-19,2319,
2021-04-16,male,20-29,2633,
2021-04-16,male,30-39,2415,
2021-04-16,male,40-49,2479,
2021-04-16,male,50-59,2162,
2021-04-16,male,60-69,1356,
2021-04-16,male,70-79,686,
2021-04-16,male,80-89,308,
2021-04-16,male,90+,89,
2021-04-16,male,total,15290,
2021-04-16,total,00-09,1660,
2021-04-16,total,10-19,4724,
2021-04-16,total,20-29,5408,
2021-04-16,total,30-39,5284,
2021-04-16,total,40-49,5188,
2021-04-16,total,50-59,4564,
2021-04-16,total,60-69,2848,
2021-04-16,total,70-79,1467,
2021-04-16,total,80-89,763,
2021-04-16,total,90+,352,
2021-04-16,total,total,32279,
2021-04-17,female,00-09,454,
2021-04-17,female,10-19,1444,
2021-04-17,female,20-29,1826,
2021-04-17,female,30-39,1727,
2021-04-17,female,40-49,1673,
2021-04-17,female,50-59,1468,
2021-04-17,female,60-69,910,
2021-04-17,female,70-79,457,
2021-04-17,female,80-89,281,
2021-04-17,female,90+,116,
2021-04-17,female,total,10357,
2021-04-17,male,00-09,522,
2021-04-17,male,10-19,1358,
2021-04-17,male,20-29,1627,
2021-04-17,male,30-39,1672,
2021-04-17,male,40-49,1664,
