date,gender,age_group,cases,deaths
2020-08-01,male,total,110.0,1.0
2020-08-01,total,total,238.0,2.0
2020-08-02,female,total,80.0,0.0
2020-08-02,male,total,73.0,1.0
2020-08-02,total,total,153.0,1.0
2020-08-03,female,total,57.0,0.0
2020-08-03,male,total,49.0,0.0
2020-08-03,total,total,106.0,0.0
2020-08-04,female,total,52.0,1.0
2020-08-04,male,total,60.0,0.0
2020-08-04,total,total,112.0,1.0
2020-08-05,female,total,74.0,0.0
2020-08-05,male,total,93.0,1.0
2020-08-05,total,total,167.0,1.0
2020-08-06,female,total,126.0,0.0
2020-08-06,male,total,87.0,3.0
2020-08-06,total,total,213.0,3.0
2020-08-07,female,total,166.0,2.0
2020-08-07,male,total,124.0,1.0
2020-08-07,total,total,290.0,3.0
2020-08-08,female,total,88.0,1.0
2020-08-08,male,total,98.0,3.0
2020-08-08,total,total,186.0,4.0
2020-08-09,female,total,70.0,1.0
2020-08-09,male,total,61.0,5.0
2020-08-09,total,total,131.0,6.0
2020-08-10,female,total,85.0,0.0
2020-08-10,male,total,72.0,3.0
2020-08-10,total,total,157.0,3.0
2020-08-11,female,total,49.0,0.0
2020-08-11,male,total,71.0,2.0
2020-08-11,total,total,120.0,2.0
2020-08-12,female,total,146.0,3.0
2020-08-12,male,total,132.0,0.0
2020-08-12,total,total,278.0,3.0
2020-08-13,female,total,174.0,3.0
2020-08-13,male,total,151.0,3.0
2020-08-13,total,total,325.0,6.0
2020-08-14,female,total,110.0,1.0
2020-08-14,male,total,125.0,1.0
2020-08-14,total,total,235.0,2.0
2020-08-15,female,total,95.0,2.0
2020-08-15,male,total,103.0,1.0
2020-08-15,total,total,198.0,3.0
2020-08-16,female,total,54.0,0.0
2020-08-16,male,total,67.0,3.0
2020-08-16,total,total,121.0,3.0
2020-08-17,female,total,60.0,0.0
2020-08-17,male,total,72.0,1.0
2020-08-17,total,total,132.0,1.0
2020-08-18,female,total,117.0,5.0
2020-08-18,male,total,97.0,0.0
2020-08-18,total,total,214.0,5.0
2020-08-19,female,total,136.0,1.0
2020-08-19,male,total,117.0,1.0
2020-08-19,total,total,253.0,2.0
2020-08-20,female,total,137.0,0.0
2020-08-20,male,total,154.0,2.0
2020-08-20,total,total,291.0,2.0
2020-08-21,female,total,106.0,2.0
2020-08-21,male,total,113.0,2.0
2020-08-21,total,total,219.0,4.0
2020-08-22,female,total,118.0,0.0
2020-08-22,male,total,123.0,2.0
2020-08-22,total,total,241.0,2.0
2020-08-23,female,total,77.0,1.0
2020-08-23,male,total,68.0,1.0
2020-08-23,total,total,145.0,2.0
2020-08-24,female,total,72.0,2.0
2020-08-24,male,total,51.0,3.0
2020-08-24,total,total,123.0,5.0
2020-08-25,female,total,99.0,1.0
2020-08-25,male,total,93.0,3.0
2020-08-25,total,total,192.0,4.0
2020-08-26,female,total,237.0,1.0
2020-08-26,male,total,125.0,1.0
2020-08-26,total,total,362.0,2.0
2020-08-27,female,total,211.0,1.0
2020-08-27,male,total,188.0,1.0
2020-08-27,total,total,397.0,2.0
2020-08-28,female,total,219.0,3.0
2020-08-28,male,total,182.0,3.0
2020-08-28,total,total,403.0,6.0
2020-08-29,female,total,183.0,2.0
2020-08-29,male,total,191.0,1.0
2020-08-29,total,total,374.0,3.0
2020-08-30,female,total,189.0,1.0
2020-08-30,male,total,131.0,0.0
2020-08-30,total,total,320.0,1.0
2020-08-31,female,total,129.0,1.0
2020-08-31,male,total,115.0,2.0
2020-08-31,total,total,244.0,3.0
2020-09-01,female,total,124.0,1.0
2020-09-01,male,total,107.0,1.0
2020-09-01,total,total,231.0,2.0
2020-09-02,female,total,208.0,1.0
2020-09-02,male,total,182.0,2.0
2020-09-02,total,total,390.0,3.0
2020-09-03,female,total,198.0,2.0
2020-09-03,male,total,220.0,0.0
2020-09-03,total,total,418.0,2.0
2020-09-04,female,total,239.0,4.0
2020-09-04,male,total,167.0,0.0
2020-09-04,total,total,406.0,4.0
2020-09-05,female,total,260.0,2.0
2020-09-05,male,total,226.0,3.0
2020-09-05,total,total,486.0,5.0
2020-09-06,female,total,172.0,1.0
2020-09-06,male,total,143.0,1.0
2020-09-06,total,total,315.0,2.0
2020-09-07,female,total,122.0,3.0
2020-09-07,male,total,127.0,0.0
2020-09-07,total,total,249.0,3.0
2020-09-08,female,total,206.0,1.0
2020-09-08,male,total,182.0,2.0
2020-09-08,total,total,388.0,3.0
2020-09-09,female,total,339.0,0.0
2020-09-09,male,total,307.0,3.0
2020-09-09,total,total,646.0,3.0
2020-09-10,female,total,312.0,1.0
2020-09-10,male,total,273.0,2.0
2020-09-10,total,total,585.0,3.0
2020-09-11,female,total,344.0,0.0
2020-09-11,male,total,343.0,3.0
2020-09-11,total,total,687.0,3.0
2020-09-12,female,total,249.0,4.0
2020-09-12,male,total,248.0,1.0
2020-09-12,total,total,497.0,5.0
2020-09-13,female,total,387.0,2.0
2020-09-13,male,total,286.0,5.0
2020-09-13,total,total,673.0,7.0
2020-09-14,female,total,340.0,3.0
2020-09-14,male,total,273.0,1.0
2020-09-14,total,total,613.0,4.0
2020-09-15,female,total,215.0,1.0
2020-09-15,male,total,210.0,3.0
2020-09-15,total,total,425.0,4.0
2020-09-16,female,total,345.0,0.0
2020-09-16,male,total,260.0,3.0
