date,gender,cases
2021-04-27,male,1855
2021-04-28,male,1714
2021-04-29,male,1690
2021-04-30,male,1728
2021-05-01,male,654
2021-05-02,male,554
2021-05-03,male,2113
2021-05-04,male,1778
2021-05-05,male,1799
2021-05-06,male,1774
2021-05-07,male,1634
2021-05-08,male,820
2021-05-09,male,427
2021-05-10,male,1685
2021-05-11,male,1481
2021-05-12,male,1374
2021-05-13,male,476
2021-05-14,male,1218
2021-05-15,male,609
2021-05-16,male,359
2021-05-17,male,1750
2021-05-18,male,1647
2021-05-19,male,1484
2021-05-20,male,1194
2021-05-21,male,1176
2021-05-22,male,693
2021-05-23,male,376
2021-05-24,male,438
2021-05-25,male,1366
2021-05-26,male,1232
2021-05-27,male,1108
2021-05-28,male,992
2021-05-29,male,560
2021-05-30,male,289
2021-05-31,male,993
2021-06-01,male,836
2021-06-02,male,779
2021-06-03,male,709
2021-06-04,male,650
2021-06-05,male,329
2021-06-06,male,209
2021-06-07,male,635
2021-06-08,male,527
2021-06-09,male,433
2021-06-10,male,387
2021-06-11,male,379
2021-06-12,male,197
2021-06-13,male,116
2021-06-14,male,362
2021-06-15,male,291
2021-06-16,male,213
2021-06-17,male,222
2021-06-18,male,229
2021-06-19,male,139
2021-06-20,male,71
2021-06-21,male,247
2021-06-22,male,186
2021-06-23,male,202
2021-06-24,male,172
2021-06-25,male,199
2021-06-26,male,132
2021-06-27,male,94
2021-06-28,male,288
2021-06-29,male,274
2021-06-30,male,314
2021-07-01,male,364
2021-07-02,male,349
2021-07-03,male,238
2021-07-04,male,185
2021-07-05,male,470
2021-07-06,male,521
2021-07-07,male,606
2021-07-08,male,646
2021-07-09,male,631
2021-07-10,male,518
2021-07-11,male,411
2021-07-12,male,937
2021-07-13,male,751
2021-07-14,male,728
2021-07-15,male,736
2021-07-16,male,811
2021-07-17,male,599
2021-07-18,male,430
2021-07-19,male,1043
2021-07-20,male,973
2021-07-21,male,414
2021-07-22,male,980
2021-07-23,male,809
2021-07-24,male,573
2021-07-25,male,398
2021-07-26,male,1008
2021-07-27,male,796
2021-07-28,male,859
2021-07-29,male,857
2021-07-30,male,912
2021-07-31,male,567
2021-08-01,male,535
2021-08-02,male,1091
2021-08-03,male,940
