date,gender,age_group,cases,deaths
2021-05-31,female,15-19,28,0
2021-05-31,female,20-24,74,0
2021-05-31,female,25-44,98,0
2021-05-31,female,45-64,64,0
2021-05-31,female,65-74,0,0
2021-05-31,female,75-84,0,0
2021-05-31,female,85+,1,0
2021-05-31,female,total,316,0
2021-05-31,male,00-14,76,0
2021-05-31,male,15-19,20,0
2021-05-31,male,20-24,52,0
2021-05-31,male,25-44,76,0
2021-05-31,male,45-64,46,0
2021-05-31,male,65-74,8,0
2021-05-31,male,75-84,4,0
2021-05-31,male,85+,2,0
2021-05-31,male,total,284,0
2021-05-31,total,00-14,127,0
2021-05-31,total,15-19,48,0
2021-05-31,total,20-24,126,0
2021-05-31,total,25-44,175,0
2021-05-31,total,45-64,110,0
2021-05-31,total,65-74,8,0
2021-05-31,total,75-84,4,0
