date,gender,cases
2021-04-21,male,1457
2021-04-22,male,1359
2021-04-23,male,1254
2021-04-24,male,646
2021-04-25,male,421
2021-04-26,male,1309
2021-04-27,male,1640
2021-04-28,male,1285
2021-04-29,male,1129
2021-04-30,male,1058
2021-05-01,male,566
2021-05-02,male,248
2021-05-03,male,1103
2021-05-04,male,1183
2021-05-05,male,928
2021-05-06,male,824
2021-05-07,male,792
2021-05-08,male,359
2021-05-09,male,192
2021-05-10,male,768
2021-05-11,male,853
2021-05-12,male,644
2021-05-13,male,593
2021-05-14,male,516
2021-05-15,male,280
2021-05-16,male,133
2021-05-17,male,576
2021-05-18,male,612
2021-05-19,male,362
2021-05-20,male,329
2021-05-21,male,350
2021-05-22,male,170
2021-05-23,male,107
2021-05-24,male,328
2021-05-25,male,334
2021-05-26,male,262
2021-05-27,male,256
2021-05-28,male,229
2021-05-29,male,102
2021-05-30,male,57
2021-05-31,male,256
2021-06-01,male,230
2021-06-02,male,192
2021-06-03,male,195
2021-06-04,male,163
2021-06-05,male,77
2021-06-06,male,44
2021-06-07,male,133
2021-06-08,male,174
2021-06-09,male,129
2021-06-10,male,85
2021-06-11,male,91
2021-06-12,male,29
2021-06-13,male,21
2021-06-14,male,84
2021-06-15,male,103
2021-06-16,male,66
2021-06-17,male,81
2021-06-18,male,67
2021-06-19,male,32
2021-06-20,male,26
2021-06-21,male,61
2021-06-22,male,56
2021-06-23,male,54
2021-06-24,male,46
2021-06-25,male,77
2021-06-26,male,40
2021-06-27,male,32
2021-06-28,male,67
2021-06-29,male,75
2021-06-30,male,68
2021-07-01,male,83
2021-07-02,male,81
2021-07-03,male,64
2021-07-04,male,55
2021-07-05,male,66
2021-07-06,male,59
2021-07-07,male,111
2021-07-08,male,131
2021-07-09,male,154
2021-07-10,male,74
2021-07-11,male,70
2021-07-12,male,111
2021-07-13,male,158
2021-07-14,male,136
2021-07-15,male,107
2021-07-16,male,125
2021-07-17,male,102
2021-07-18,male,50
2021-07-19,male,105
2021-07-20,male,154
2021-07-21,male,114
2021-07-22,male,91
2021-07-23,male,90
2021-07-24,male,59
2021-07-25,male,40
2021-07-26,male,102
2021-07-27,male,103
2021-07-28,male,84
2021-07-29,male,92
2021-07-30,male,65
2021-07-31,male,50
2021-08-01,male,38
2021-08-02,male,68
2021-08-03,male,116
2021-08-04,male,97
2021-08-05,male,80
2021-08-06,male,92
2021-08-07,male,84
2021-08-08,male,53
2021-08-09,male,76
2021-08-10,male,132
2021-08-11,male,106
2021-08-12,male,89
2021-08-13,male,95
2021-08-14,male,75
2021-08-15,male,37
2021-08-16,male,105
2021-08-17,male,128
2021-08-18,male,88
2021-08-19,male,80
2021-08-20,male,82
2021-08-21,male,64
2021-08-22,male,43
2021-08-23,male,97
2021-08-24,male,116
2021-08-25,male,114
2021-08-26,male,102
2021-08-27,male,83
2021-08-28,male,63
2021-08-29,male,44
2021-08-30,male,117
2021-08-31,male,146
2021-09-01,male,123
2021-09-02,male,141
2021-09-03,male,158
2021-09-04,male,108
2021-09-05,male,69
2021-09-06,male,185
2021-09-07,male,288
2021-09-08,male,196
2021-09-09,male,192
2021-09-10,male,207
2021-09-11,male,138
2021-09-12,male,69
2021-09-13,male,225
2021-09-14,male,273
2021-09-15,male,261
2021-09-16,male,290
2021-09-17,male,208
2021-09-18,male,132
2021-09-19,male,88
2021-09-20,male,229
2021-09-21,male,264
2021-09-22,male,250
2021-09-23,male,233
2021-09-24,male,230
2021-09-25,male,215
2021-09-26,male,119
2021-09-27,male,323
2021-09-28,male,227
2021-09-29,male,364
2021-09-30,male,441
2021-10-01,male,382
2021-10-02,male,269
2021-10-03,male,142
2021-10-04,male,390
2021-10-05,male,516
2021-10-06,male,506
2021-10-07,male,515
2021-10-08,male,498
2021-10-09,male,312
2021-10-10,male,165
2021-10-11,male,636
2021-10-12,male,732
2021-10-13,male,723
2021-10-14,male,713
2021-10-15,male,815
2021-10-16,male,556
2021-10-17,male,395
2021-10-18,male,1159
2021-10-19,male,1567
2021-10-20,male,1523
2021-10-21,male,1754
